Vaccine type,Town,Vaccine coverage
שיתוק ילדים (IPV)-IPV,הזורעים,94%
שיתוק ילדים (IPV)-IPV,גבעת חיים (איחוד),92%
שיתוק ילדים (IPV)-IPV,בני ראם,100%
שיתוק ילדים (IPV)-IPV,שדה עוזיהו,98%
שיתוק ילדים (IPV)-IPV,רבדים,73%
שיתוק ילדים (IPV)-IPV,כפר מצר,99%
שיתוק ילדים (IPV)-IPV,כמון,71%
שיתוק ילדים (IPV)-IPV,כדיתה,50%
שיתוק ילדים (IPV)-IPV,חולתה,83%
שיתוק ילדים (IPV)-IPV,שדמות מחולה,90%
שיתוק ילדים (IPV)-IPV,ציפורי,100%
שיתוק ילדים (IPV)-IPV,משכיות,70%
שיתוק ילדים (IPV)-IPV,מיצר,73%
שיתוק ילדים (IPV)-IPV,מגדלים,89%
שיתוק ילדים (IPV)-IPV,ישעי,76%
שיתוק ילדים (IPV)-IPV,טנא,91%
שיתוק ילדים (IPV)-IPV,חיבת ציון,93%
שיתוק ילדים (IPV)-IPV,חגי,96%
שיתוק ילדים (IPV)-IPV,ברכיה,98%
שיתוק ילדים (IPV)-IPV,בוסתן הגליל,95%
שיתוק ילדים (IPV)-IPV,נופית,92%
שיתוק ילדים (IPV)-IPV,כפר מנחם,95%
שיתוק ילדים (IPV)-IPV,"ייט""ב",71%
שיתוק ילדים (IPV)-IPV,גבע כרמל,96%
שיתוק ילדים (IPV)-IPV,רמות מנשה,96%
שיתוק ילדים (IPV)-IPV,חד-נס,68%
שיתוק ילדים (IPV)-IPV,דלתון,93%
שיתוק ילדים (IPV)-IPV,אלון הגליל,84%
שיתוק ילדים (IPV)-IPV,שילת,90%
שיתוק ילדים (IPV)-IPV,עין יהב,90%
שיתוק ילדים (IPV)-IPV,עופר,77%
שיתוק ילדים (IPV)-IPV,עדי,97%
שיתוק ילדים (IPV)-IPV,נהלל,89%
שיתוק ילדים (IPV)-IPV,נאות גולן,86%
שיתוק ילדים (IPV)-IPV,כפר הנשיא,96%
שיתוק ילדים (IPV)-IPV,גילת,95%
שיתוק ילדים (IPV)-IPV,בית אורן,80%
שיתוק ילדים (IPV)-IPV,איילת השחר,90%
שיתוק ילדים (IPV)-IPV,שקד,97%
שיתוק ילדים (IPV)-IPV,פסוטה,100%
שיתוק ילדים (IPV)-IPV,פוריה עילית,92%
שיתוק ילדים (IPV)-IPV,מסעדה,99%
שיתוק ילדים (IPV)-IPV,מנשית זבדה,97%
שיתוק ילדים (IPV)-IPV,"יד רמב""ם",93%
שיתוק ילדים (IPV)-IPV,דריג'את,97%
שיתוק ילדים (IPV)-IPV,בית מאיר,70%
שיתוק ילדים (IPV)-IPV,אשתאול,93%
שיתוק ילדים (IPV)-IPV,אניעם,75%
שיתוק ילדים (IPV)-IPV,שדי חמד,92%
שיתוק ילדים (IPV)-IPV,עין ורד,93%
שיתוק ילדים (IPV)-IPV,עין דור,84%
שיתוק ילדים (IPV)-IPV,ניר משה,100%
שיתוק ילדים (IPV)-IPV,כפר בלום,82%
שיתוק ילדים (IPV)-IPV,ינון,100%
שיתוק ילדים (IPV)-IPV,חגלה,85%
שיתוק ילדים (IPV)-IPV,הבונים,70%
שיתוק ילדים (IPV)-IPV,גן יאשיה,85%
שיתוק ילדים (IPV)-IPV,בת שלמה,75%
שיתוק ילדים (IPV)-IPV,בית זרע,88%
שיתוק ילדים (IPV)-IPV,אשחר,100%
שיתוק ילדים (IPV)-IPV,תראבין א-צאנע,85%
שיתוק ילדים (IPV)-IPV,שומריה,98%
שיתוק ילדים (IPV)-IPV,עזריקם,97%
שיתוק ילדים (IPV)-IPV,סעד,100%
שיתוק ילדים (IPV)-IPV,נס הרים,100%
שיתוק ילדים (IPV)-IPV,נירית,93%
שיתוק ילדים (IPV)-IPV,נגוהות,93%
שיתוק ילדים (IPV)-IPV,מתת,29%
שיתוק ילדים (IPV)-IPV,מגדל עוז,86%
שיתוק ילדים (IPV)-IPV,יתד,81%
שיתוק ילדים (IPV)-IPV,יקנעם (מושבה),88%
שיתוק ילדים (IPV)-IPV,יכיני,86%
שיתוק ילדים (IPV)-IPV,חנתון,88%
שיתוק ילדים (IPV)-IPV,געש,94%
שיתוק ילדים (IPV)-IPV,בית חשמונאי,100%
שיתוק ילדים (IPV)-IPV,שלומית,89%
שיתוק ילדים (IPV)-IPV,רשפים,94%
שיתוק ילדים (IPV)-IPV,קטנה,33%
שיתוק ילדים (IPV)-IPV,עין הבשור,100%
שיתוק ילדים (IPV)-IPV,מפלסים,93%
שיתוק ילדים (IPV)-IPV,מגן שאול,100%
שיתוק ילדים (IPV)-IPV,להבות הבשן,88%
שיתוק ילדים (IPV)-IPV,כפר מונש,95%
שיתוק ילדים (IPV)-IPV,כפר יחזקאל,93%
שיתוק ילדים (IPV)-IPV,כפר זיתים,85%
שיתוק ילדים (IPV)-IPV,גן השומרון,89%
שיתוק ילדים (IPV)-IPV,ג'יב,0%
שיתוק ילדים (IPV)-IPV,בני ציון,100%
שיתוק ילדים (IPV)-IPV,בית הלוי,73%
שיתוק ילדים (IPV)-IPV,באר אורה,87%
שיתוק ילדים (IPV)-IPV,אלי-עד,75%
שיתוק ילדים (IPV)-IPV,שמיר,100%
שיתוק ילדים (IPV)-IPV,רוחמה,86%
שיתוק ילדים (IPV)-IPV,צפריה,97%
שיתוק ילדים (IPV)-IPV,צביה,80%
שיתוק ילדים (IPV)-IPV,עמינדב,94%
שיתוק ילדים (IPV)-IPV,עברון,93%
שיתוק ילדים (IPV)-IPV,מעש,96%
שיתוק ילדים (IPV)-IPV,מבואות יריחו,64%
שיתוק ילדים (IPV)-IPV,לפיד,94%
שיתוק ילדים (IPV)-IPV,לוזית,83%
שיתוק ילדים (IPV)-IPV,כרם בן זמרה,79%
שיתוק ילדים (IPV)-IPV,כפר עציון,94%
שיתוק ילדים (IPV)-IPV,זמרת,93%
שיתוק ילדים (IPV)-IPV,גיתה,100%
שיתוק ילדים (IPV)-IPV,בצרה,83%
שיתוק ילדים (IPV)-IPV,בן עמי,95%
שיתוק ילדים (IPV)-IPV,רמת מגשימים,92%
שיתוק ילדים (IPV)-IPV,נצר חזני,82%
שיתוק ילדים (IPV)-IPV,ניר עקיבא,70%
שיתוק ילדים (IPV)-IPV,משמר הנגב,96%
שיתוק ילדים (IPV)-IPV,מרחביה (קיבוץ),88%
שיתוק ילדים (IPV)-IPV,מעלה גלבוע,89%
שיתוק ילדים (IPV)-IPV,מולדת,100%
שיתוק ילדים (IPV)-IPV,מבוא ביתר,84%
שיתוק ילדים (IPV)-IPV,לוטם,100%
שיתוק ילדים (IPV)-IPV,כפר רופין,100%
שיתוק ילדים (IPV)-IPV,כפר סירקין,90%
שיתוק ילדים (IPV)-IPV,כפר הס,100%
שיתוק ילדים (IPV)-IPV,יפתח,92%
שיתוק ילדים (IPV)-IPV,חלחול,63%
שיתוק ילדים (IPV)-IPV,גמזו,89%
שיתוק ילדים (IPV)-IPV,בצת,85%
שיתוק ילדים (IPV)-IPV,אלישמע,94%
שיתוק ילדים (IPV)-IPV,אור הנר,97%
שיתוק ילדים (IPV)-IPV,תלמי אלעזר,86%
שיתוק ילדים (IPV)-IPV,שתולה,86%
שיתוק ילדים (IPV)-IPV,רמת יוחנן,97%
שיתוק ילדים (IPV)-IPV,קלע,73%
שיתוק ילדים (IPV)-IPV,עמיקם,85%
שיתוק ילדים (IPV)-IPV,נען,89%
שיתוק ילדים (IPV)-IPV,ניר עציון,91%
שיתוק ילדים (IPV)-IPV,מעלה גמלא,92%
שיתוק ילדים (IPV)-IPV,כפר הנגיד,95%
שיתוק ילדים (IPV)-IPV,ירחיב,86%
שיתוק ילדים (IPV)-IPV,חרוצים,78%
שיתוק ילדים (IPV)-IPV,חמד,89%
שיתוק ילדים (IPV)-IPV,הילה,50%
שיתוק ילדים (IPV)-IPV,החותרים,100%
שיתוק ילדים (IPV)-IPV,דפנה,90%
שיתוק ילדים (IPV)-IPV,גינתון,89%
שיתוק ילדים (IPV)-IPV,גבעת יערים,95%
שיתוק ילדים (IPV)-IPV,בר גיורא,93%
שיתוק ילדים (IPV)-IPV,בית רימון,98%
שיתוק ילדים (IPV)-IPV,בארותיים,76%
שיתוק ילדים (IPV)-IPV,רמת הכובש,90%
שיתוק ילדים (IPV)-IPV,רביבים,94%
שיתוק ילדים (IPV)-IPV,קדמת צבי,86%
שיתוק ילדים (IPV)-IPV,עין שריד,100%
שיתוק ילדים (IPV)-IPV,נווה מיכאל,82%
שיתוק ילדים (IPV)-IPV,נאות מרדכי,100%
שיתוק ילדים (IPV)-IPV,מצדות יהודה,96%
שיתוק ילדים (IPV)-IPV,מענית,94%
שיתוק ילדים (IPV)-IPV,מח'ים קלנדיה,0%
שיתוק ילדים (IPV)-IPV,לכיש,100%
שיתוק ילדים (IPV)-IPV,כברי,94%
שיתוק ילדים (IPV)-IPV,יסודות,100%
שיתוק ילדים (IPV)-IPV,דליה,91%
שיתוק ילדים (IPV)-IPV,בית נחמיה,96%
שיתוק ילדים (IPV)-IPV,בית ינאי,78%
שיתוק ילדים (IPV)-IPV,בית אלעזרי,100%
שיתוק ילדים (IPV)-IPV,בורגתה,93%
שיתוק ילדים (IPV)-IPV,בארי,100%
שיתוק ילדים (IPV)-IPV,רמת השופט,100%
שיתוק ילדים (IPV)-IPV,רינתיה,100%
שיתוק ילדים (IPV)-IPV,צוריף,67%
שיתוק ילדים (IPV)-IPV,עמיר,100%
שיתוק ילדים (IPV)-IPV,עין זיוון,78%
שיתוק ילדים (IPV)-IPV,עין השופט,100%
שיתוק ילדים (IPV)-IPV,נתיב העשרה,88%
שיתוק ילדים (IPV)-IPV,נגבה,86%
שיתוק ילדים (IPV)-IPV,נבטים,94%
שיתוק ילדים (IPV)-IPV,נאעורה,100%
שיתוק ילדים (IPV)-IPV,מצובה,82%
שיתוק ילדים (IPV)-IPV,מעונה,91%
שיתוק ילדים (IPV)-IPV,מירב,94%
שיתוק ילדים (IPV)-IPV,מבוא מודיעים,85%
שיתוק ילדים (IPV)-IPV,יובלים,96%
שיתוק ילדים (IPV)-IPV,חניתה,79%
שיתוק ילדים (IPV)-IPV,בית חורון,91%
שיתוק ילדים (IPV)-IPV,בית הגדי,82%
שיתוק ילדים (IPV)-IPV,אלישיב,78%
שיתוק ילדים (IPV)-IPV,אילון,86%
שיתוק ילדים (IPV)-IPV,תנובות,96%
שיתוק ילדים (IPV)-IPV,"תלמי ביל""ו",95%
שיתוק ילדים (IPV)-IPV,שדה אילן,87%
שיתוק ילדים (IPV)-IPV,שבי דרום,95%
שיתוק ילדים (IPV)-IPV,רימונים,91%
שיתוק ילדים (IPV)-IPV,צפרירים,75%
שיתוק ילדים (IPV)-IPV,צלפון,93%
שיתוק ילדים (IPV)-IPV,פלמחים,100%
שיתוק ילדים (IPV)-IPV,עראמשה,100%
שיתוק ילדים (IPV)-IPV,עמקה,85%
שיתוק ילדים (IPV)-IPV,עין החורש,100%
שיתוק ילדים (IPV)-IPV,כמאנה,100%
שיתוק ילדים (IPV)-IPV,הר גילה,95%
שיתוק ילדים (IPV)-IPV,בית שקמה,100%
שיתוק ילדים (IPV)-IPV,תימורים,96%
שיתוק ילדים (IPV)-IPV,עלמון,100%
שיתוק ילדים (IPV)-IPV,סמר,50%
שיתוק ילדים (IPV)-IPV,ניצני עוז,93%
שיתוק ילדים (IPV)-IPV,משאבי שדה,100%
שיתוק ילדים (IPV)-IPV,מסילת ציון,86%
שיתוק ילדים (IPV)-IPV,מזור,88%
שיתוק ילדים (IPV)-IPV,כפר ראש הנקרה,91%
שיתוק ילדים (IPV)-IPV,כפר חנניה,96%
שיתוק ילדים (IPV)-IPV,יד מרדכי,96%
שיתוק ילדים (IPV)-IPV,יד השמונה,80%
שיתוק ילדים (IPV)-IPV,גשר הזיו,100%
שיתוק ילדים (IPV)-IPV,בקוע,96%
שיתוק ילדים (IPV)-IPV,איתן,95%
שיתוק ילדים (IPV)-IPV,אחיטוב,90%
שיתוק ילדים (IPV)-IPV,אומץ,93%
שיתוק ילדים (IPV)-IPV,אדורה,96%
שיתוק ילדים (IPV)-IPV,שריד,100%
שיתוק ילדים (IPV)-IPV,עטרת,83%
שיתוק ילדים (IPV)-IPV,ניצן ב',88%
שיתוק ילדים (IPV)-IPV,נחשולים,91%
שיתוק ילדים (IPV)-IPV,משמר השבעה,88%
שיתוק ילדים (IPV)-IPV,מרחביה (מושב),85%
שיתוק ילדים (IPV)-IPV,מדרך עוז,88%
שיתוק ילדים (IPV)-IPV,כרמי קטיף,96%
שיתוק ילדים (IPV)-IPV,כרכום,79%
שיתוק ילדים (IPV)-IPV,כפר קיש,94%
שיתוק ילדים (IPV)-IPV,כפר גלעדי,40%
שיתוק ילדים (IPV)-IPV,טל-אל,93%
שיתוק ילדים (IPV)-IPV,חוסן,97%
שיתוק ילדים (IPV)-IPV,גיניגר,86%
שיתוק ילדים (IPV)-IPV,"גבעת כ""ח",93%
שיתוק ילדים (IPV)-IPV,גאליה,96%
שיתוק ילדים (IPV)-IPV,בני נעים,83%
שיתוק ילדים (IPV)-IPV,בית עזרא,95%
שיתוק ילדים (IPV)-IPV,אליאב,97%
שיתוק ילדים (IPV)-IPV,תרום,83%
שיתוק ילדים (IPV)-IPV,שוקדה,94%
שיתוק ילדים (IPV)-IPV,שובל,100%
שיתוק ילדים (IPV)-IPV,רומאנה,98%
שיתוק ילדים (IPV)-IPV,קראות בני חסן,100%
שיתוק ילדים (IPV)-IPV,קוואעין (שבט),98%
שיתוק ילדים (IPV)-IPV,עין עירון,88%
שיתוק ילדים (IPV)-IPV,נהורה,100%
שיתוק ילדים (IPV)-IPV,משמרת,93%
שיתוק ילדים (IPV)-IPV,משמר הירדן,84%
שיתוק ילדים (IPV)-IPV,מצליח,100%
שיתוק ילדים (IPV)-IPV,מסלול,91%
שיתוק ילדים (IPV)-IPV,מזרע,100%
שיתוק ילדים (IPV)-IPV,לימן,95%
שיתוק ילדים (IPV)-IPV,כפר נטר,100%
שיתוק ילדים (IPV)-IPV,כפר יהושע,100%
שיתוק ילדים (IPV)-IPV,יד חנה,94%
שיתוק ילדים (IPV)-IPV,חצרים,92%
שיתוק ילדים (IPV)-IPV,חגור,93%
שיתוק ילדים (IPV)-IPV,הוואשלה (שבט),99%
שיתוק ילדים (IPV)-IPV,דן,94%
שיתוק ילדים (IPV)-IPV,אמונים,96%
שיתוק ילדים (IPV)-IPV,שדה יעקב,100%
שיתוק ילדים (IPV)-IPV,צופית,90%
שיתוק ילדים (IPV)-IPV,"פעמי תש""ז",89%
שיתוק ילדים (IPV)-IPV,עלמה,95%
שיתוק ילדים (IPV)-IPV,סנסנה,96%
שיתוק ילדים (IPV)-IPV,נצר סרני,100%
שיתוק ילדים (IPV)-IPV,מגדים,87%
שיתוק ילדים (IPV)-IPV,כפר מסריק,96%
שיתוק ילדים (IPV)-IPV,כפר החורש,100%
שיתוק ילדים (IPV)-IPV,כפר האורנים,95%
שיתוק ילדים (IPV)-IPV,יזרעאל,94%
שיתוק ילדים (IPV)-IPV,חרב לאת,92%
שיתוק ילדים (IPV)-IPV,הודייה,96%
שיתוק ילדים (IPV)-IPV,גינוסר,88%
שיתוק ילדים (IPV)-IPV,גבעתי,94%
שיתוק ילדים (IPV)-IPV,בית העמק,94%
שיתוק ילדים (IPV)-IPV,אודם,73%
שיתוק ילדים (IPV)-IPV,תלמים,100%
שיתוק ילדים (IPV)-IPV,רתמים,89%
שיתוק ילדים (IPV)-IPV,צרעה,96%
שיתוק ילדים (IPV)-IPV,צוחר,90%
שיתוק ילדים (IPV)-IPV,פוריה - כפר עבודה,95%
שיתוק ילדים (IPV)-IPV,עצמון שגב,100%
שיתוק ילדים (IPV)-IPV,עין קנייא,98%
שיתוק ילדים (IPV)-IPV,עין צורים,94%
שיתוק ילדים (IPV)-IPV,סתריה,96%
שיתוק ילדים (IPV)-IPV,ניר צבי,100%
שיתוק ילדים (IPV)-IPV,נטף,96%
שיתוק ילדים (IPV)-IPV,משמרות,100%
שיתוק ילדים (IPV)-IPV,מעברות,91%
שיתוק ילדים (IPV)-IPV,כפר יעבץ,84%
שיתוק ילדים (IPV)-IPV,כפר בן נון,95%
שיתוק ילדים (IPV)-IPV,"כפר ביל""ו",100%
שיתוק ילדים (IPV)-IPV,כחל,93%
שיתוק ילדים (IPV)-IPV,יציץ,90%
שיתוק ילדים (IPV)-IPV,יד נתן,100%
שיתוק ילדים (IPV)-IPV,הסוללים,100%
שיתוק ילדים (IPV)-IPV,היוגב,96%
שיתוק ילדים (IPV)-IPV,גני יוחנן,86%
שיתוק ילדים (IPV)-IPV,גנות הדר,90%
שיתוק ילדים (IPV)-IPV,גבת,95%
שיתוק ילדים (IPV)-IPV,בית לחם הגלילית,95%
שיתוק ילדים (IPV)-IPV,בית אמר,100%
שיתוק ילדים (IPV)-IPV,ביצרון,91%
שיתוק ילדים (IPV)-IPV,באר טוביה,100%
שיתוק ילדים (IPV)-IPV,אחיסמך,94%
שיתוק ילדים (IPV)-IPV,אורות,93%
שיתוק ילדים (IPV)-IPV,תלם,89%
שיתוק ילדים (IPV)-IPV,שעל,100%
שיתוק ילדים (IPV)-IPV,שכניה,75%
שיתוק ילדים (IPV)-IPV,שורש,100%
שיתוק ילדים (IPV)-IPV,ריחאניה,90%
שיתוק ילדים (IPV)-IPV,קוממיות,90%
שיתוק ילדים (IPV)-IPV,עשרת,100%
שיתוק ילדים (IPV)-IPV,עין כרמל,100%
שיתוק ילדים (IPV)-IPV,עזריה,100%
שיתוק ילדים (IPV)-IPV,משמר איילון,100%
שיתוק ילדים (IPV)-IPV,מעין ברוך,83%
שיתוק ילדים (IPV)-IPV,מגל,100%
שיתוק ילדים (IPV)-IPV,מבקיעים,97%
שיתוק ילדים (IPV)-IPV,מבוא חמה,83%
שיתוק ילדים (IPV)-IPV,לבנים,82%
שיתוק ילדים (IPV)-IPV,כפר שמואל,95%
שיתוק ילדים (IPV)-IPV,כפר עזה,94%
שיתוק ילדים (IPV)-IPV,כפר חיים,100%
שיתוק ילדים (IPV)-IPV,כפר גדעון,92%
שיתוק ילדים (IPV)-IPV,חפץ חיים,100%
שיתוק ילדים (IPV)-IPV,חדיד,97%
שיתוק ילדים (IPV)-IPV,זיתן,91%
שיתוק ילדים (IPV)-IPV,הדר עם,88%
שיתוק ילדים (IPV)-IPV,גברעם,79%
שיתוק ילדים (IPV)-IPV,בני עטרות,100%
שיתוק ילדים (IPV)-IPV,בית גמליאל,92%
שיתוק ילדים (IPV)-IPV,בטחה,91%
שיתוק ילדים (IPV)-IPV,אלונים,100%
שיתוק ילדים (IPV)-IPV,אלוני הבשן,79%
שיתוק ילדים (IPV)-IPV,אבטליון,86%
שיתוק ילדים (IPV)-IPV,תושיה,91%
שיתוק ילדים (IPV)-IPV,שדמה,100%
שיתוק ילדים (IPV)-IPV,שדה יצחק,90%
שיתוק ילדים (IPV)-IPV,פקיעין חדשה,86%
שיתוק ילדים (IPV)-IPV,עבדון,94%
שיתוק ילדים (IPV)-IPV,ניר גלים,94%
שיתוק ילדים (IPV)-IPV,נווה אילן,95%
שיתוק ילדים (IPV)-IPV,להב,94%
שיתוק ילדים (IPV)-IPV,כרמל,98%
שיתוק ילדים (IPV)-IPV,יעד,100%
שיתוק ילדים (IPV)-IPV,חפצי-בה,100%
שיתוק ילדים (IPV)-IPV,חוסנייה,98%
שיתוק ילדים (IPV)-IPV,זבדיאל,94%
שיתוק ילדים (IPV)-IPV,הר עמשא,85%
שיתוק ילדים (IPV)-IPV,גני הדר,88%
שיתוק ילדים (IPV)-IPV,גזית,86%
שיתוק ילדים (IPV)-IPV,בן זכאי,89%
שיתוק ילדים (IPV)-IPV,בית עריף,86%
שיתוק ילדים (IPV)-IPV,אבן ספיר,92%
שיתוק ילדים (IPV)-IPV,תל עדשים,96%
שיתוק ילדים (IPV)-IPV,שמשית,91%
שיתוק ילדים (IPV)-IPV,רמת צבי,96%
שיתוק ילדים (IPV)-IPV,עמיחי,75%
שיתוק ילדים (IPV)-IPV,ניר עם,95%
שיתוק ילדים (IPV)-IPV,נווה זיו,92%
שיתוק ילדים (IPV)-IPV,משען,100%
שיתוק ילדים (IPV)-IPV,משואה,96%
שיתוק ילדים (IPV)-IPV,"מצפה אבי""ב",100%
שיתוק ילדים (IPV)-IPV,מעין צבי,93%
שיתוק ילדים (IPV)-IPV,כפר מרדכי,94%
שיתוק ילדים (IPV)-IPV,כסלון,88%
שיתוק ילדים (IPV)-IPV,כוכב מיכאל,100%
שיתוק ילדים (IPV)-IPV,יפעת,100%
שיתוק ילדים (IPV)-IPV,חולדה,89%
שיתוק ילדים (IPV)-IPV,זרחיה,95%
שיתוק ילדים (IPV)-IPV,זרועה,83%
שיתוק ילדים (IPV)-IPV,גבעת ישעיהו,91%
שיתוק ילדים (IPV)-IPV,בת חן,89%
שיתוק ילדים (IPV)-IPV,בית אולה,33%
שיתוק ילדים (IPV)-IPV,אשלים,94%
שיתוק ילדים (IPV)-IPV,ארסוף,40%
שיתוק ילדים (IPV)-IPV,שריגים (לי-און),91%
שיתוק ילדים (IPV)-IPV,שפיר,89%
שיתוק ילדים (IPV)-IPV,שני,86%
שיתוק ילדים (IPV)-IPV,שואבה,100%
שיתוק ילדים (IPV)-IPV,רמות,92%
שיתוק ילדים (IPV)-IPV,עין חרוד (מאוחד),87%
שיתוק ילדים (IPV)-IPV,עין גב,81%
שיתוק ילדים (IPV)-IPV,נחלה,94%
שיתוק ילדים (IPV)-IPV,נאות סמדר,70%
שיתוק ילדים (IPV)-IPV,מחנה תל נוף,100%
שיתוק ילדים (IPV)-IPV,כפר חיטים,93%
שיתוק ילדים (IPV)-IPV,יטבתה,100%
שיתוק ילדים (IPV)-IPV,חמאם,98%
שיתוק ילדים (IPV)-IPV,זכריה,97%
שיתוק ילדים (IPV)-IPV,גילון,91%
שיתוק ילדים (IPV)-IPV,גונן,100%
שיתוק ילדים (IPV)-IPV,גבעת יואב,100%
שיתוק ילדים (IPV)-IPV,גבעת חיים (מאוחד),85%
שיתוק ילדים (IPV)-IPV,בניה,86%
שיתוק ילדים (IPV)-IPV,בית חנניה,100%
שיתוק ילדים (IPV)-IPV,בארות יצחק,94%
שיתוק ילדים (IPV)-IPV,אשכולות,63%
שיתוק ילדים (IPV)-IPV,אלמגור,75%
שיתוק ילדים (IPV)-IPV,אומן,94%
שיתוק ילדים (IPV)-IPV,אדרת,96%
שיתוק ילדים (IPV)-IPV,אבנת,86%
שיתוק ילדים (IPV)-IPV,תקומה,93%
שיתוק ילדים (IPV)-IPV,תובל,100%
שיתוק ילדים (IPV)-IPV,שער העמקים,100%
שיתוק ילדים (IPV)-IPV,שלוחות,96%
שיתוק ילדים (IPV)-IPV,רקפת,82%
שיתוק ילדים (IPV)-IPV,רוויה,100%
שיתוק ילדים (IPV)-IPV,קרית נטפים,100%
שיתוק ילדים (IPV)-IPV,"עין הנצי""ב",84%
שיתוק ילדים (IPV)-IPV,עזריאל,96%
שיתוק ילדים (IPV)-IPV,משמר דוד,90%
שיתוק ילדים (IPV)-IPV,כפר מימון,98%
שיתוק ילדים (IPV)-IPV,ינוב,81%
שיתוק ילדים (IPV)-IPV,יחיעם,100%
שיתוק ילדים (IPV)-IPV,חבצלת השרון,89%
שיתוק ילדים (IPV)-IPV,העוגן,90%
שיתוק ילדים (IPV)-IPV,אל-רום,85%
שיתוק ילדים (IPV)-IPV,אירוס,96%
שיתוק ילדים (IPV)-IPV,אביעזר,100%
שיתוק ילדים (IPV)-IPV,תל תאומים,94%
שיתוק ילדים (IPV)-IPV,שרשרת,100%
שיתוק ילדים (IPV)-IPV,שדמות דבורה,91%
שיתוק ילדים (IPV)-IPV,שדה צבי,94%
שיתוק ילדים (IPV)-IPV,צורית,100%
שיתוק ילדים (IPV)-IPV,ניצני סיני,81%
שיתוק ילדים (IPV)-IPV,מכמנים,87%
שיתוק ילדים (IPV)-IPV,כפר ורבורג,100%
שיתוק ילדים (IPV)-IPV,"כפר הרי""ף",94%
שיתוק ילדים (IPV)-IPV,יקום,80%
שיתוק ילדים (IPV)-IPV,חצור-אשדוד,100%
שיתוק ילדים (IPV)-IPV,חלוץ,100%
שיתוק ילדים (IPV)-IPV,ח'רבתא אל-מצבאח,50%
שיתוק ילדים (IPV)-IPV,האון,22%
שיתוק ילדים (IPV)-IPV,דבירה,100%
שיתוק ילדים (IPV)-IPV,"גבעת ח""ן",100%
שיתוק ילדים (IPV)-IPV,גבעות בר,100%
שיתוק ילדים (IPV)-IPV,בני דרור,100%
שיתוק ילדים (IPV)-IPV,אורים,90%
שיתוק ילדים (IPV)-IPV,אום אל-קוטוף,100%
שיתוק ילדים (IPV)-IPV,אדמית,92%
שיתוק ילדים (IPV)-IPV,תרקומיא,33%
שיתוק ילדים (IPV)-IPV,תירוש,91%
שיתוק ילדים (IPV)-IPV,שושנת העמקים,91%
שיתוק ילדים (IPV)-IPV,שדה נחום,86%
שיתוק ילדים (IPV)-IPV,שדה דוד,85%
שיתוק ילדים (IPV)-IPV,רגבים,94%
שיתוק ילדים (IPV)-IPV,רגבה,93%
שיתוק ילדים (IPV)-IPV,פארן,100%
שיתוק ילדים (IPV)-IPV,עמיעד,100%
שיתוק ילדים (IPV)-IPV,עידן,90%
שיתוק ילדים (IPV)-IPV,ניר דוד (תל עמל),77%
שיתוק ילדים (IPV)-IPV,נווה מבטח,86%
שיתוק ילדים (IPV)-IPV,מצפה אילן,96%
שיתוק ילדים (IPV)-IPV,לוחמי הגיטאות,96%
שיתוק ילדים (IPV)-IPV,לביא,100%
שיתוק ילדים (IPV)-IPV,כנרת (קבוצה),89%
שיתוק ילדים (IPV)-IPV,כנף,89%
שיתוק ילדים (IPV)-IPV,כורזים,100%
שיתוק ילדים (IPV)-IPV,חצבה,100%
שיתוק ילדים (IPV)-IPV,חמדיה,92%
שיתוק ילדים (IPV)-IPV,דגניה ב',90%
שיתוק ילדים (IPV)-IPV,געתון,100%
שיתוק ילדים (IPV)-IPV,גזר,100%
שיתוק ילדים (IPV)-IPV,"גבעת ניל""י",100%
שיתוק ילדים (IPV)-IPV,ג'נין,92%
שיתוק ילדים (IPV)-IPV,בית קמה,100%
שיתוק ילדים (IPV)-IPV,בית עוזיאל,96%
שיתוק ילדים (IPV)-IPV,בית חירות,100%
שיתוק ילדים (IPV)-IPV,אליפלט,97%
שיתוק ילדים (IPV)-IPV,תלמי יחיאל,100%
שיתוק ילדים (IPV)-IPV,שניר,82%
שיתוק ילדים (IPV)-IPV,שדי תרומות,96%
שיתוק ילדים (IPV)-IPV,רמת רחל,100%
שיתוק ילדים (IPV)-IPV,רמת דוד,93%
שיתוק ילדים (IPV)-IPV,פטיש,98%
שיתוק ילדים (IPV)-IPV,ערוגות,100%
שיתוק ילדים (IPV)-IPV,עבידיה,75%
שיתוק ילדים (IPV)-IPV,ניר ישראל,73%
שיתוק ילדים (IPV)-IPV,נטור,77%
שיתוק ילדים (IPV)-IPV,נחשון,89%
שיתוק ילדים (IPV)-IPV,נווה ירק,91%
שיתוק ילדים (IPV)-IPV,משמר העמק,100%
שיתוק ילדים (IPV)-IPV,מסדה,91%
שיתוק ילדים (IPV)-IPV,מלכיה,100%
שיתוק ילדים (IPV)-IPV,מחניים,100%
שיתוק ילדים (IPV)-IPV,מגשימים,96%
שיתוק ילדים (IPV)-IPV,כפר חסידים א',81%
שיתוק ילדים (IPV)-IPV,כפר אביב,85%
שיתוק ילדים (IPV)-IPV,חרמש,70%
שיתוק ילדים (IPV)-IPV,חלמיש,92%
שיתוק ילדים (IPV)-IPV,המעפיל,100%
שיתוק ילדים (IPV)-IPV,דור,83%
שיתוק ילדים (IPV)-IPV,דבורה,73%
שיתוק ילדים (IPV)-IPV,גדות,82%
